DEFAULT;;;;CUSTOM;;
MSE;RC;SNR;;MSE;RC;SNR
3.802;64.847;37.086;;3.802;66.491;37.086
28.584;85.011;28.325;;28.584;85.228;28.325
57.307;90.127;25.304;;57.307;90.225;25.304
98.405;93.7;22.956;;98.405;93.791;22.956
141.84;95.713;21.368;;141.84;95.895;21.368
176.95;96.611;20.408;;176.95;96.86;20.408
282.2;97.824;18.381;;282.2;98.175;18.381
501.02;98.498;15.888;;501.02;98.922;15.888
