88.254;93.707;95.56;97.034;98.083;98.799;99.215;99.34
94.861;98.076;98.455;99.289;99.364;99.446;99.484;99.5
81.468;89.732;92.953;95.461;97.144;98.172;98.806;99.031
69.28;78.72;82.425;86.916;90.955;94.406;97.536;98.714
22.159;51.023;63.897;76.425;89.372;95.575;98.203;98.918
93.173;96.116;97.242;98.123;98.684;99.018;99.252;99.314
99.393;99.429;99.448;99.466;99.484;99.502;99.518;99.527
66.491;85.228;90.225;93.791;96.265;97.827;98.662;98.922
91.275;96.763;98.059;98.844;99.229;99.405;99.507;99.538
85.517;94.042;96.046;97.397;98.286;98.849;99.209;99.321
50.876;80.657;88.246;92.785;95.872;97.718;98.711;99.026
78.006;92.759;95.599;97.289;98.346;98.996;99.303;99.401
