0.99937;0.99426;0.98749;0.97794;0.96397;0.95171;0.92238;0.9086
0.99997;0.99996;0.99986;0.99975;0.9995;0.99922;0.99745;0.99014
0.99554;0.96151;0.93686;0.90553;0.88265;0.83317;0.78964;0.72691
0.99998;0.99909;0.99882;0.99084;0.96897;0.94593;0.7415;0.71897
0.9994;0.98674;0.95033;0.83479;0.58616;0.40746;0.25085;0.096689
0.99995;0.99937;0.99844;0.99716;0.99561;0.99482;0.99195;0.98396
0.99999;0.99999;0.99999;0.99992;0.99994;0.95384;0.95412;0.99374
0.9957;0.97449;0.95432;0.92719;0.89866;0.87607;0.81041;0.69149
0.99751;0.99426;0.99048;0.98233;0.97164;0.95727;0.89941;0.80121
0.98906;0.95456;0.93624;0.91202;0.8853;0.86213;0.80324;0.72186
