48.13;36.761;32.684;29.475;27.45;26.246;24.536;22.213
51.303;49.17;43.876;40.969;38.158;36.077;30.466;24.324
32.544;21.126;16.891;13.736;11.715;10.648;8.7619;7.0106
47.004;29.945;28.747;20.066;14.99;12.681;6.5787;5.9441
35.67;22.182;16.364;10.979;7.5609;6.7815;6.331;6.0106
44.281;34.131;30.192;27.477;25.654;25.016;22.901;19.584
51.899;51.899;51.107;47.427;46.584;38.718;42.454;25.193
37.086;28.325;25.304;22.956;21.368;20.408;18.381;15.888
45.034;41.047;38.553;35.633;33.067;30.685;26.37;21.357
41.067;33.786;31.68;29.67;27.949;26.741;24.109;20.957
