87.545;93.491;95.348;96.759;97.574;97.985;98.521;98.845
93.686;97.409;97.984;98.82;98.912;98.948;98.994;99.022
79.265;89.365;92.714;95.221;96.581;97.201;98.006;98.575
59.961;76.299;80.725;84.955;88.145;89.967;93.807;95.89
3.8042;46.367;60.833;74.386;85.352;91.404;96.008;98.427
92.775;96.059;97.135;97.928;98.352;98.514;98.756;98.916
98.797;98.868;98.907;98.94;98.967;98.979;99.005;99.03
64.847;85.011;90.127;93.7;95.713;96.611;97.824;98.498
91.185;96.489;97.726;98.472;98.746;98.84;98.961;99.03
85.09;93.763;95.784;97.115;97.825;98.138;98.581;98.844
