5;5.8864;47.632;35.123;0.99594
25;73.4;80.002;24.164;0.95431
50;129.86;88.1;21.687;0.92457
100;197.33;92.645;19.869;0.89093
200;283.54;95.596;18.295;0.84647
400;404.12;97.324;16.756;0.78649
750;581.31;98.262;15.177;0.70036
1000;698.92;98.564;14.377;0.63966
